Event_ID,Source_Event_IDs,Event_Name,Event_Type,Country,Country_Code,Location,Latitude,Longitude,Date,Year,Month,Day,Time,Severity,Population_Affected,Fatalities,People_Displaced,Financial_Loss,Alert_Level,Source,Comments,External_Links
de95682046502fbd0b4a43877cbce121,['AC-2000-000630-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Khogiani'],[34.2292129],[70.1932084],2000/10/1,2000,10,1,,,,,,,,[],['{House} (Misc:Collapse)'],[]
354612eaf018a14d2e53c6b92eef2d13,['AC-2001-000666-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Near Talogan (Takhar province)'],[36.7704489],[69.5302203],2001/12/8,2001,12,8,,,,,,,,[],['{Helicopter} (Air)'],[]
0f5dffe31239e4f63d7336ed4e3c3be7,['AC-2002-000345-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Tangi Abrishim'],[33.93911],[67.709953],2002/6/8,2002,6,8,,,,,,,,[],['(Road)'],[]
01c08a4510aab6ebcb0eaa68af3d0a86,['AC-2002-000449-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Bamiyan region'],[34.9073296],[67.1894488],2002/7/20,2002,7,20,,,,,,,,[],['(Misc:Explosion)'],[]
5d143f19dc6b3f6cabc0f7df76d670be,['AC-2002-000867-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Kapisa'],[34.9810572],[69.6214562],2002/8/6,2002,8,6,,,,,,,,[],['(Road)'],[]
b7a67faf08910b075e08a6b7540d4ab7,['AC-2002-000869-AFG'],Tech. Disaster,AC,Afghanistan,AFG,['Jalalabad'],[34.4341667],[70.4477778],2002/8/9,2002,8,9,,,,,,,,[],['{Warehouse} (Misc:Explosion)'],[]
9a074ba1b3bd59aa93ae5cf30c8ffebc,['AC-2008-000036-ALB'],Tech. Disaster,AC,Albania,ALB,['3 villages near Tirana'],[41.326],[19.816],2008/3/15,2008,3,15,,,,,,,,['IFRC-Information Bulletin No1'],"['Massive explosions near the Albanian capital of Tirana on 15 March 2008, have badly affected three villages. According to information received from the local authorities a number of buildings, including homes, have been totally destroyed and 90 per cent of the population living in those villages have been evacuated and accommodated with relatives who live in the nearby area. Explosions continued for many hours until 14:00 on 16 March close to the village of Gerdec, 16 kilometres from Tirana. The government has declared a state of emergency for this area and emergency commissions have been set up at central and local level.']",[]
c381e2dbeb7a1c6f6a64037110bc444c,['AC-2012-000084-ALB'],Tech. Disaster,AC,Albania,ALB,['Qafa e Vishes'],[40.133782],[19.7303939],2012/5/21,2012,5,21,16:15,,,,,,,['IFRC'],"['A bus carrying Albanian university students plunged hundreds of feet into a ravine Monday, killing at least 13 people according to police. Rescuers were working Monday to free students who may be trapped inside the bus, located at the bottom of a deep ravine near the city of Himara, 220 kilometers south of the capital of Tirana.']",[]
d8c71d87795f3fdd1e335eddccdb1dcd,['AC-2000-000505-DZA'],Tech. Disaster,AC,Algeria,DZA,['Near El-Euch (Bordj Bou Arreridj region)'],[36.8833333],[4.78333329999998],2000/8/10,2000,8,10,,,,,,,,[],['(Road)'],[]
65db051f410fc547a6c5eb8ae52d6b24,['AC-2002-000716-DZA'],Tech. Disaster,AC,Algeria,DZA,['Sebdou (Tlemcen)'],[34.6333333],[-1.33333330000005],2002/11/20,2002,11,20,,,,,,,,[],['{Boulangerie} (Misc:Explosion)'],[]
789f79c2ef78c00538f43b24987bd980,['AC-2002-000120-DZA'],Tech. Disaster,AC,Algeria,DZA,['Aen Defla region'],[36.0729193],[1.9881527],2002/2/28,2002,2,28,,,,,,,,[],['(Road)'],[]
ab1d606a5d6cb6b11a560f9ac02605d8,['AC-2002-000386-DZA'],Tech. Disaster,AC,Algeria,DZA,['Chelghoum El-Aid'],[36.166667],[6.16666699999996],2002/4/3,2002,4,3,,,,,,,,[],['{Prison} (Misc:Fire)'],[]
025101d438e24311c1e55b2bf896a286,['AC-2002-000192-DZA'],Tech. Disaster,AC,Algeria,DZA,['Skikda'],[36.8666667],[6.89999999999998],2002/4/4,2002,4,4,,,,,,,,[],"['{Cargo ""Ebn Hawkel""} (Water)']",[]
7acfabd2da4dc6aeb717e223abf18bf3,['AC-2002-000267-DZA'],Tech. Disaster,AC,Algeria,DZA,['near Lakhdaria'],[36.5622222],[3.59444439999993],2002/5/7,2002,5,7,,,,,,,,[],['(Road)'],[]
81a45eb323f7d7eee9c51ae728cb0dce,['AC-2002-000517-DZA'],Tech. Disaster,AC,Algeria,DZA,['Habibas Isl. (au large de Bouzedjar)'],[35.7251576],[-1.13110449999999],2002/8/17,2002,8,17,,,,,,,,[],['(Water)'],[]
eee585deb539999402c52e3b3b5cad97,['AC-2000-000001-AGO'],Tech. Disaster,AC,Angola,AGO,['Calulo'],[-10.0008333],[14.8961111],2000/1/26,2000,1,26,,,,,,,,[],['(Road)'],[]
20d48b993f2d98c51e26f38850adbc08,['AC-2000-000747-AGO'],Tech. Disaster,AC,Angola,AGO,['Near Saurimo'],[-9.6610479],[20.39086],2000/11/1,2000,11,1,,,,,,,,[],['{Antonov An-26} (Air)'],[]
78c44d7972c4081cf4cb9595b024e3dc,['AC-2000-000737-AGO'],Tech. Disaster,AC,Angola,AGO,['Luanda'],[-8.8383333],[13.2344444],2000/11/15,2000,11,15,,,,,,,,[],['{Antonov-24} (Air)'],[]
a1eec757f1292459425062b00abc46a6,['AC-2000-000719-AGO'],Tech. Disaster,AC,Angola,AGO,['Malanje'],[-9.541654],[16.341049],2000/11/2,2000,11,2,,,,,,,,[],['(Road)'],[]
633281ea160741c909d0272fe1de1d31,['AC-2000-000386-AGO'],Tech. Disaster,AC,Angola,AGO,['Lebango (Huila province)'],[-11.202692],[17.873887],2000/7/6,2000,7,6,,,,,,,,[],['(Road)'],[]
f25b96956ffeacfe856b2f54018d8b1d,['AC-2000-000509-AGO'],Tech. Disaster,AC,Angola,AGO,['Cinto-Pontes (Near Lubango)'],[-14.91854],[13.49242],2000/8/16,2000,8,16,,,,,,,,[],['(Road)'],[]
23eecfb75ad1e036a0f404fcf66a8daf,['AC-2000-000570-AGO'],Tech. Disaster,AC,Angola,AGO,['Barrocas-do-Boas Vista (Luanda)'],[-8.77319231074007],[13.30036236875],2000/9/6,2000,9,6,,,,,,,,[],['{Houses and video club} (Misc:Collapse)'],[]
9306a0bf8f299c26b2f643c7859202d3,['AC-2001-000680-AGO'],Tech. Disaster,AC,Angola,AGO,['Bengo province'],[-9.1042257],[13.7289167],2001/12/15,2001,12,15,,,,,,,,[],['{Helicopter MI-8} (Air)'],[]
84a5357a636d745c52cf01cb6266bf47,['AC-2001-000700-AGO'],Tech. Disaster,AC,Angola,AGO,[],[-11.202692],[17.873887],2001/12/25,2001,12,25,,,,,,,,[],"['{Boat ""Kenya""} (Water)']",[]
5c539b7251c7bb2f5deee66eff8b2562,['AC-2001-000113-AGO'],Tech. Disaster,AC,Angola,AGO,['Near Lubango'],[-14.91854],[13.49242],2001/3/17,2001,3,17,,,,,,,,[],['(Air)'],[]
81e4f561858f13657dba9c18c231d375,['AC-2001-000248-AGO'],Tech. Disaster,AC,Angola,AGO,['Near Catala (Malange province)'],[-9.47531],[16.7234589],2001/6/8,2001,6,8,,,,,,,,[],['(Misc:Explosion)'],[]
3d78ec734636e1952cd67293cc90c4b1,['AC-2001-000503-AGO'],Tech. Disaster,AC,Angola,AGO,['Between Mungo and Huambo'],[-12.7666667],[15.7333333],2001/8/11,2001,8,11,,,,,,,,[],['(Road)'],[]
5869d0e2e2d644cd6703e3a0a43ba049,['AC-2001-000512-AGO'],Tech. Disaster,AC,Angola,AGO,['Kulu (Uije province)'],[-7.1736732],[15.4068079],2001/9/10,2001,9,10,,,,,,,,[],['(Road)'],[]
2b2ca9a669859b0264e15f84a0ef5fff,['AC-2001-000538-AGO'],Tech. Disaster,AC,Angola,AGO,['Uije'],[-7.6102105],[15.0615865],2001/9/24,2001,9,24,,,,,,,,[],['(Road)'],[]
b1f974ac1a73203c1f4446d451f6a897,['AC-2002-000046-AGO'],Tech. Disaster,AC,Angola,AGO,['Kanyengue (near Lwena)'],[-11.79],[19.9],2002/1/27,2002,1,27,,,,,,,,[],['{Antonov-12} (Air)'],[]
9596bd3e544008d78d21338fc10f6bf5,['AC-2002-000335-AGO'],Tech. Disaster,AC,Angola,AGO,['Ndalatando'],[-9.2984069],[14.91416],2002/6/2,2002,6,2,,,,,,,,[],['{Helicopter M-17} (Air)'],[]
a9f6cfec7169b85671406803538be0d3,['AC-2000-000685-ARG'],Tech. Disaster,AC,Argentina,ARG,['Chacabuco municipality'],[-41.136097],[-71.2600174],2000/10/22,2000,10,22,,,,,,,,[],['(Air)'],[]
bd59bf6b0d425f427236b5ac1a072763,['AC-2001-000169-ARG'],Tech. Disaster,AC,Argentina,ARG,['Near Roque P?rez'],[-38.416097],[-63.616672],2001/4/28,2001,4,28,,,,,,,,[],['{Cessna 208 Caravan} (Air)'],[]
9f8239c9d22bdd53713eeb0973d08401,['AC-2001-000449-ARG'],Tech. Disaster,AC,Argentina,ARG,['San Nicolas'],[-38.416097],[-63.616672],2001/8/21,2001,8,21,,,,,,,,[],['(Road)'],[]
8eb785451f2ba9262ca58625f26538da,['AC-2002-000592-ARG'],Tech. Disaster,AC,Argentina,ARG,['Near Gatamarca'],[-28.4689906],[-65.7789716],2002/9/15,2002,9,15,,,,,,,,[],['(Road)'],[]
7659071f82d5239c942cd3d08f64c1fe,['AC-2000-000811-AUS'],Tech. Disaster,AC,Australia,AUS,['Ashmore Isl.'],[-28.0462809],[153.3910976],2000/12/8,2000,12,8,,,,,,,,[],['(Water)'],[]
82ef18b96806ebe85b0912051bb420f8,['AC-2000-000348-AUS'],Tech. Disaster,AC,Australia,AUS,['Childers (North of Brisbane)'],[-27.3990024],[153.0357173],2000/6/23,2000,6,23,,,,,,,,[],['{Hotel} (Misc:Fire)'],[]
508d2b26d21f5333e28f414d77f24ed0,['AC-2000-000730-AUT'],Tech. Disaster,AC,Austria,AUT,['Kitzteinhorn - Kaprun'],[47.20401],[12.71708],2000/10/11,2000,10,11,,,,,,,,[],['{Funicular train} (Rail)'],[]
56dd72395d409f012ecd77e7e32212b1,['AC-2000-000615-AZE'],Tech. Disaster,AC,Azerbaijan,AZE,['Near Khadjikaboul'],[40.143105],[47.576927],2000/9/22,2000,9,22,,,,,,,,[],['(Road)'],[]
e339fecbdd908e6a4ef16250255ee3e8,['AC-2002-000662-AZE'],Tech. Disaster,AC,Azerbaijan,AZE,['Capien sea (near Bakou)'],[40.143105],[47.576927],2002/10/22,2002,10,22,,,,,,,,[],['{Mercury 2} (Water)'],[]
c707c91372bc4e6fc541a8275568da58,['AC-2000-000522-BHR'],Tech. Disaster,AC,Bahrain,BHR,['Golfe'],[25.6972222],[50.5341667],2000/8/23,2000,8,23,,,,,,,,[],['{Airbus A-320} (Air)'],[]
0c34514c463028995cecc62f3406ff15,['AC-2000-000768-BGD'],Tech. Disaster,AC,Bangladesh,BGD,['Shibpur (Narsinghdi district)'],[23.684994],[90.356331],2000/11/25,2000,11,25,,,,,,,,[],['{Textile factory} (Ind:Fire)'],[]
c87d3c7358a55cf9a7cbca18a196a132,['AC-2000-000836-BGD'],Tech. Disaster,AC,Bangladesh,BGD,"['Meghna river (near Borerchar Isl., Chandpur district)']",[23.684994],[90.356331],2000/12/20,2000,12,20,,,,,,,,[],"['{Ferry ""Rajhangshi""} (Water)']",[]
330112689ffcc175363a71748ce9cc24,['AC-2000-000228-BGD'],Tech. Disaster,AC,Bangladesh,BGD,['Meghna Rive (East)'],[23.5071776],[90.8176661],2000/5/2,2000,5,2,,,,,,,,[],['{Ferries (Dolphin - Bengal Bird)} (Water)'],[]
