ID_linkage.event_ID,ID_linkage.imp_sub_ID,ID_linkage.haz_sub_ID,ID_linkage.imp_ext_IDs,source.imp_src_db,source.imp_src_URL,source.imp_src_org,impact_detail.exp_spec,impact_detail.imp_value,impact_detail.imp_type,impact_detail.imp_units,impact_detail.imp_est_type,impact_detail.imp_unitdate,temporal.imp_sdate,temporal.imp_fdate,temporal.imp_credate,spatial.ID_linkage,spatial.spatial_info,spatial.source,temporal.imp_moddate
monty_031f0987-9d17-4007-9665-85b85448af82,imp_9b8cb91a-17fd-4e51-84b5-564a92db5444,[],"[{'ext_ID': 'ARG-7838-a', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,UNDRR,expspec_crop,1000000.0,imptypdama,unitshectare,esttype_prim,2007-08-20,2007-08-20,2067-08-05,2007-08-20,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-ARG', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip'}]","[{'imp_ISO3s': 'ARG', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_031f0987-9d17-4007-9665-85b85448af82,imp_8e3f7a2e-7409-42bc-8a9f-8d8b69c74e9c,[],"[{'ext_ID': 'ARG-7838-a', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,UNDRR,expspec_allpeop,200.0,imptypereloc,unitscountnum,esttype_prim,2007-08-20,2007-08-20,2067-08-05,2007-08-20,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-ARG', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip'}]","[{'imp_ISO3s': 'ARG', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_e6567a9d-2896-4508-b525-ddfcb79e0891,imp_8f0c3820-b475-421e-b822-060f6b75b3c6,[],"[{'ext_ID': 'MDRVN022', 'ext_ID_db': 'GO-App', 'ext_ID_org': 'IFRC'}]",GO-DREF,https://goadmin.ifrc.org/api/v2/appeal,IFRC,expspec_allpeop,25525.0,imptyptarg,unitscountnum,esttype_prim,2021-04-09,2021-04-09,2026-04-30,2022-12-29,"[{'imp_spat_ID': 'GO-ADM0-World-shp', 'imp_spat_fileloc': 'https://go-user-library.ifrc.org/maps'}]","[{'imp_ISO3s': 'VNM', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GO-Maps', 'imp_spat_URL': 'https://go-user-library.ifrc.org/maps', 'imp_spat_srcorg': 'IFRC'}]",2024-08-14
monty_e6567a9d-2896-4508-b525-ddfcb79e0891,imp_853b0d5c-d69e-4e23-a053-7cdedbd56108,[],"[{'ext_ID': 'MDRVN022', 'ext_ID_db': 'GO-App', 'ext_ID_org': 'IFRC'}]",GO-DREF,https://goadmin.ifrc.org/api/v2/appeal,IFRC,expspec_ecoifrcall,225286.0,imptypcost,unitISO4217C-CHF,esttype_prim,2021-04-09,2021-04-09,2026-04-30,2022-12-29,"[{'imp_spat_ID': 'GO-ADM0-World-shp', 'imp_spat_fileloc': 'https://go-user-library.ifrc.org/maps'}]","[{'imp_ISO3s': 'VNM', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GO-Maps', 'imp_spat_URL': 'https://go-user-library.ifrc.org/maps', 'imp_spat_srcorg': 'IFRC'}]",2024-08-14
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_da824516-ba06-4db0-9358-a11b1db8bc0c,[],"[{'ext_ID': 'KEN-28043', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypinju,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2026-12-09,2021-05-29,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_ad2f8217-c32b-48ee-9595-6e4ceb1d6836,[],"[{'ext_ID': 'KEN-28047', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,4.0,imptypinju,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2027-10-25,2021-05-29,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_a436913d-dcc4-4210-a128-2e906a0585e8,[],"[{'ext_ID': 'KEN-28047', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2027-10-25,2021-05-29,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_92707914-9d5f-4d28-9bd9-17fb97bc33a9,imp_7d9c2e0d-6998-46ad-9292-abfe88ef7ac3,[],"[{'ext_ID': 'KEN-28094', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-06-01,2021-06-01,2027-01-16,2021-06-01,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_c85d865b-d2a1-4b41-b819-b7970a384b87,imp_ac941f7d-1241-45f0-aceb-5212e1e5a0aa,[],"[{'ext_ID': 'KEN-28159', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_ecototunkinf,980000.0,imptypcost,unitscostunknown,esttype_prim,2021-06-08,2021-06-08,2027-04-08,2021-06-08,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
monty_ab9d0d8e-15cd-4cdf-9ff4-42da639c5081,imp_f0faf8ca-006b-422b-bd21-95d4df30e989,[],"[{'ext_ID': 'KEN-28297', 'ext_ID_db': 'Desinventar', 'ext_ID_org': 'UNDRR'}]",Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-06-26,2021-06-26,2026-09-08,2021-06-26,"[{'imp_spat_ID': 'UNDRR-GovDes-ADM0-KEN', 'imp_spat_fileloc': 'https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip'}]","[{'imp_ISO3s': 'KEN', 'imp_spat_covcode': 'spat_polygon', 'imp_spat_res': 0, 'imp_spat_resunits': 'adminlevel', 'imp_spat_crs': 'EPSG:4326'}]","[{'imp_spat_srcdb': 'GovDes', 'imp_spat_URL': 'https://www.desinventar.net/download.html', 'imp_spat_srcorg': 'UNDRR'}]",
