event_ID,haz_sub_ID,ext_ID,ext_ID_db,ext_ID_org,haz_src_db,haz_src_URL,haz_src_org,haz_maxvalue,haz_maxunits,haz_est_type,all_hazs_Ab,all_hazs_spec,haz_sdate,haz_fdate,haz_credate,haz_moddate,haz_spat_ID,haz_spat_fileloc,haz_ISO3s,haz_spat_covcode,haz_spat_resunits,haz_spat_crs,haz_spat_srcdb,haz_spat_URL,haz_spat_srcorg
monty_10f8b8e8-e94c-45e8-a975-ab2c8f13d6bc,haz_ea1862f8-0f1b-4183-bce6-a77a51fb88f6,DR-2022-000215-AFG,GLIDE,ADRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1015257&episodeid=88,EC-JRC,263840.0,unitskm2,esttype_second,DR,MH0035,2021-10-20,2024-07-02,2021-10-20,2024-07-04,spathaz_e5d92927-537c-4778-bb8a-06c0c2eb8eb2,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1015257&episodeid=88,UZB,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1015257&episodeid=88,EC-JRC
monty_5fcc6b2d-14de-41ae-a1cc-f18ad083f00b,haz_d3a906dd-dd4e-4dc2-a42f-e547f00474ec,DR-2023-000204-BRA,GLIDE,ADRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016449&episodeid=34,EC-JRC,1509735.0,unitskm2,esttype_second,DR,MH0035,2022-09-20,2024-08-13,2022-09-20,2024-08-13,spathaz_b5f72932-9606-4d9b-b321-a434beb82c09,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016449&episodeid=34,VEN,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016449&episodeid=34,EC-JRC
monty_bc21dbcb-55fe-44bb-ae87-5dca7960e0e4,haz_f6df9559-037f-4d27-84f5-1a55a0320c91,DR-2022-000390-BLZ,GLIDE,ADRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016053&episodeid=34,EC-JRC,40748.0,unitskm2,esttype_second,DR,MH0035,2022-11-10,2024-04-16,2022-11-10,2024-04-18,spathaz_6b4cb2ec-2018-4b26-a1d3-01fd178d43eb,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016053&episodeid=34,USA,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016053&episodeid=34,EC-JRC
monty_5e87c986-a087-4d78-89f2-9452702b4370,haz_64f00bcb-745b-45cb-af6d-7f84cfe5f8a0,1016298,GDACS,EC-JRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016298&episodeid=29,EC-JRC,22670.0,unitskm2,esttype_second,DR,MH0035,2023-01-20,2024-03-11,2023-01-20,2024-03-13,spathaz_ad2dc492-3d49-437a-9a07-01eb0d294394,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016298&episodeid=29,CAN,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016298&episodeid=29,EC-JRC
monty_a487b140-3d94-4388-a7a2-25c2557d45af,haz_0e4eb121-6095-4750-bf0e-eaa06b6d330f,1016209,GDACS,EC-JRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016209&episodeid=26,EC-JRC,23022.0,unitskm2,esttype_second,DR,MH0035,2023-01-20,2024-01-16,2023-01-20,2024-01-18,spathaz_82278fce-4fbe-423b-b31f-d82c449e7a59,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016209&episodeid=26,THA,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016209&episodeid=26,EC-JRC
monty_ad2f3ed9-ce15-48ec-b5ab-6aa64c046ec3,haz_2474c643-15db-42fc-9966-6fa6db4daf4a,1016287,GDACS,EC-JRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016287&episodeid=15,EC-JRC,11138.0,unitskm2,esttype_second,DR,MH0035,2023-03-20,2024-01-01,2023-03-20,2024-01-03,spathaz_c0491fa1-cb51-460a-b000-2773ff66db55,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016287&episodeid=15,IND,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016287&episodeid=15,EC-JRC
monty_ebac5c63-11cf-4ce2-88e4-04a675c8debf,haz_2de517d6-85b8-4f02-b1f5-d9293e99b67f,DR-2024-000013-COL,GLIDE,ADRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016315&episodeid=12,EC-JRC,110498.0,unitskm2,esttype_second,DR,MH0035,2023-04-20,2024-07-02,2023-04-20,2024-07-04,spathaz_5fbd5ea5-b5cd-4449-8dfa-7a9b81b947a6,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016315&episodeid=12,COL,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016315&episodeid=12,EC-JRC
monty_20441259-25b3-4bef-a4c6-07da16dd94a8,haz_2d0e1cfa-080c-442d-9786-71a04ee64d4b,DR-2023-000137-KAZ,GLIDE,ADRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016348&episodeid=18,EC-JRC,87379.0,unitskm2,esttype_second,DR,MH0035,2023-04-20,2024-01-01,2023-04-20,2024-01-03,spathaz_f5035d63-4fa6-4465-a036-a159006de4ca,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016348&episodeid=18,RUS,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016348&episodeid=18,EC-JRC
monty_b0b919ec-4ab1-4ca3-a441-50896850918d,haz_ea6928d9-4b2e-4b12-b308-0689cc4f1960,1016386,GDACS,EC-JRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016386&episodeid=8,EC-JRC,24290.0,unitskm2,esttype_second,DR,MH0035,2023-05-20,2024-01-16,2023-05-20,2024-01-18,spathaz_889d3391-b71b-4bce-bebd-98a69146e7c0,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016386&episodeid=8,NGA,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016386&episodeid=8,EC-JRC
monty_810fd592-f655-4dec-8cee-14dd86fc601d,haz_5ce05a51-ca19-423f-9b15-415c45759d9b,1016527,GDACS,EC-JRC,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016527&episodeid=2,EC-JRC,355568.0,unitskm2,esttype_second,DR,MH0035,2023-05-20,2023-12-09,2023-05-20,2024-08-08,spathaz_61b2c758-4c95-4fed-93ac-42a494068c0a,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016527&episodeid=2,BRA,spat_polygon,spatresother,EPSG:4326,GDACS,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=DR&eventid=1016527&episodeid=2,EC-JRC
