event_ID,imp_sub_ID,ext_ID,ext_ID_db,ext_ID_org,imp_src_db,imp_src_URL,imp_src_org,exp_spec,imp_value,imp_type,imp_units,imp_est_type,imp_unitdate,imp_sdate,imp_fdate,imp_credate,imp_spat_ID,imp_spat_fileloc,imp_ISO3s,imp_spat_covcode,imp_spat_res,imp_spat_resunits,imp_spat_crs,imp_spat_srcdb,imp_spat_URL,imp_spat_srcorg,imp_moddate,haz_sub_ID
monty_031f0987-9d17-4007-9665-85b85448af82,imp_9b8cb91a-17fd-4e51-84b5-564a92db5444,ARG-7838-a,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,UNDRR,expspec_crop,1000000.0,imptypdama,unitshectare,esttype_prim,2007-08-20,2007-08-20,2067-08-05,2007-08-20,UNDRR-GovDes-ADM0-ARG,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,ARG,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_031f0987-9d17-4007-9665-85b85448af82,imp_8e3f7a2e-7409-42bc-8a9f-8d8b69c74e9c,ARG-7838-a,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,UNDRR,expspec_allpeop,200.0,imptypereloc,unitscountnum,esttype_prim,2007-08-20,2007-08-20,2067-08-05,2007-08-20,UNDRR-GovDes-ADM0-ARG,https://www.desinventar.net/DesInventar/download/DI_export_ARG.zip,ARG,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_e6567a9d-2896-4508-b525-ddfcb79e0891,imp_8f0c3820-b475-421e-b822-060f6b75b3c6,MDRVN022,GO-App,IFRC,GO-DREF,https://goadmin.ifrc.org/api/v2/appeal,IFRC,expspec_allpeop,25525.0,imptyptarg,unitscountnum,esttype_prim,2021-04-09,2021-04-09,2026-04-30,2022-12-29,GO-ADM0-World-shp,https://go-user-library.ifrc.org/maps,VNM,spat_polygon,0,adminlevel,EPSG:4326,GO-Maps,https://go-user-library.ifrc.org/maps,IFRC,2024-08-14,
monty_e6567a9d-2896-4508-b525-ddfcb79e0891,imp_853b0d5c-d69e-4e23-a053-7cdedbd56108,MDRVN022,GO-App,IFRC,GO-DREF,https://goadmin.ifrc.org/api/v2/appeal,IFRC,expspec_ecoifrcall,225286.0,imptypcost,unitISO4217C-CHF,esttype_prim,2021-04-09,2021-04-09,2026-04-30,2022-12-29,GO-ADM0-World-shp,https://go-user-library.ifrc.org/maps,VNM,spat_polygon,0,adminlevel,EPSG:4326,GO-Maps,https://go-user-library.ifrc.org/maps,IFRC,2024-08-14,
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_da824516-ba06-4db0-9358-a11b1db8bc0c,KEN-28043,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypinju,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2026-12-09,2021-05-29,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_ad2f8217-c32b-48ee-9595-6e4ceb1d6836,KEN-28047,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,4.0,imptypinju,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2027-10-25,2021-05-29,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_79e9ce45-3223-4b22-abb7-b99e997ee0a6,imp_a436913d-dcc4-4210-a128-2e906a0585e8,KEN-28047,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2027-10-25,2021-05-29,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_07618a9d-2c26-4af3-a5bc-51acb709496e,imp_d73cb39b-3c75-4123-b0ca-5d755a8d3a1a,KEN-28041,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-05-29,2021-05-29,2024-02-23,2021-05-29,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_92707914-9d5f-4d28-9bd9-17fb97bc33a9,imp_7d9c2e0d-6998-46ad-9292-abfe88ef7ac3,KEN-28094,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_allpeop,1.0,imptypdeat,unitscountnum,esttype_prim,2021-06-01,2021-06-01,2027-01-16,2021-06-01,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
monty_c85d865b-d2a1-4b41-b819-b7970a384b87,imp_ac941f7d-1241-45f0-aceb-5212e1e5a0aa,KEN-28159,Desinventar,UNDRR,Desinventar,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,UNDRR,expspec_ecototunkinf,980000.0,imptypcost,unitscostunknown,esttype_prim,2021-06-08,2021-06-08,2027-04-08,2021-06-08,UNDRR-GovDes-ADM0-KEN,https://www.desinventar.net/DesInventar/download/DI_export_KEN.zip,KEN,spat_polygon,0,adminlevel,EPSG:4326,GovDes,https://www.desinventar.net/download.html,UNDRR,,
