Year,Country ,Event,Placeholder
2000,ZWE,Flood,TBC
2000,TZA,Drought,TBC
2000,SYC,Flood,TBC
2000,SYC,Flood,TBC
2000,TZA,Flood,TBC
2000,NAM,Flood,TBC
2000,COM,Drought,TBC
2000,SWZ,Drought,TBC
2000,SYC,Flood,TBC
2000,BWA,Drought,TBC
2000,COM,Drought,TBC
2000,TZA,Drought,TBC
2000,COM,Flood,TBC
2000,COD,Flood,TBC
2000,SWZ,Flood,TBC
2000,ZWE,Flood,TBC
2000,TZA,Flood,TBC
2000,MDG,Flood,TBC
2000,ZAF,Flood,TBC
2001,MDG,Drought,TBC
2001,ZAF,Flood,TBC
2001,MOZ,Flood,TBC
2001,MDG,Flood,TBC
2001,MWI,Flood,TBC
2001,ZMB,Flood,TBC
2001,COM,Drought,TBC
2001,MDG,Drought,TBC
2001,MWI,Flood,TBC
2001,MOZ,Flood,TBC
2001,BWA,Flood,TBC
2001,MOZ,Drought,TBC
2001,NAM,Drought,TBC
2001,SYC,Drought,TBC
2001,ZAF,Drought,TBC
2002,MWI,Flood,TBC
2002,MWI,Flood,TBC
2002,SYC,Flood,TBC
2002,NAM,Drought,TBC
2002,SWZ,Drought,TBC
2002,ZAF,Drought,TBC
2002,ZWE,Flood,TBC
2002,MDG,Flood,TBC
2002,BWA,Drought,TBC
2002,COD,Flood,TBC
2002,MUS,Drought,TBC
2002,COD,Drought,TBC
2002,AGO,Flood,TBC
2002,AGO,Flood,TBC
2002,MUS,Flood,TBC
2002,ZAF,Flood,TBC
2002,LSO,Drought,TBC
2003,SWZ,Flood,TBC
2003,ZMB,Flood,TBC
2003,BWA,Flood,TBC
2003,MWI,Flood,TBC
2003,NAM,Drought,TBC
2003,ZWE,Drought,TBC
2003,NAM,Drought,TBC
2003,MWI,Flood,TBC
2003,SYC,Drought,TBC
2003,NAM,Flood,TBC
2003,LSO,Drought,TBC
2003,SYC,Drought,TBC
2003,BWA,Drought,TBC
2003,COD,Flood,TBC
2004,COD,Drought,TBC
2004,LSO,Flood,TBC
2004,COD,Drought,TBC
2004,MUS,Drought,TBC
2004,TZA,Flood,TBC
2004,ZMB,Flood,TBC
2004,MDG,Drought,TBC
2004,ZAF,Drought,TBC
2004,MDG,Drought,TBC
2004,MWI,Drought,TBC
2004,BWA,Flood,TBC
2004,SWZ,Drought,TBC
2004,SWZ,Flood,TBC
2004,TZA,Flood,TBC
2004,ZMB,Flood,TBC
2004,BWA,Drought,TBC
2004,AGO,Flood,TBC
2005,MOZ,Drought,TBC
2005,LSO,Flood,TBC
2005,AGO,Flood,TBC
2005,COM,Flood,TBC
