event_code,event_name
CONFLICT,VIOLENCE/CLASHES
CONFLICT,POST-CONFLICT NEEDS
CONFLICT,CIVIL UNREST
DISPLACEMENT,REFUGEES
DISPLACEMENT,DISPLACEMENT/MIGRATION
DISPLACEMENT,POPULATION MOVEMENT
DR,DROUGHT
EP,COVID-19
EP,CHOLERA
EP,EBOLA
EP,EPIDEMIC
EP,MEASLES
EP,UNSPECIFIED HEALTH EMERGENCY
EQ,EARTHQUAKE
FL,FF
FL,FLASH FLOOD
FL,FLOOD
FL,FLOODS
FL,FLOODING
FL,PLUVIAL/FLASH FLOOD
HW/CW,COLD WAVE
HW/CW,CW
HW/CW,ET
HW/CW,EXTREME TEMPERATURE
HW/CW,EXTREME TEMPERATURE
HW/CW,HEAT WAVE
HW/CW,HEAT/COLD WAVE
HW/CW,HT
HW/CW,HW
LS,AV
LS,LANDSLIDE
LS,MASS MOVEMENT
LS,MASS MOVEMENT (DRY)
LS,MASS MOVEMENT (WET)
LS,MS
LS,SL
TC,CYCLONE
TC,EC
TC,HURRICANE
TC,OCEAN STORM
TC,OCEAN STORM - CYCLONE
TC,OCEAN STORM - HURRICANE
TC,OCEAN STORM - TYPHOON
TC,SS
TC,ST
TC,STORM
TC,STORM SURGE
TC,TC
TC,TO
TC,TS
TC,TYPHOON
TC,VW
TC,WV
VO,VOLCANIC ACTIVITY
VO,VOLCANIC ERUPTION
VO,VOLCANO
WF,FIRE
WF,FOREST FIRE
WF,FR
WF,WILDFIRE
UNSPECIFIED,CE
UNSPECIFIED,COMPLEX EMERGENCY
UNSPECIFIED,MIXED DISASTERS
UNSPECIFIED,NONE
UNSPECIFIED,OT
UNSPECIFIED,OTHER
UNSPECIFIED,UNSPECIFIED EMERGENCY
UNSPECIFIED,MULTIPLE EMERGENCIES
